f0x,f0y,f1x,f1y,f2x,f2y,f3x,f3y,roll,pitch,label
31.37,18.51,32.74,12.58,32.74,-6.45,40.09,-7.33,63.19,5.76,1
30.59,19.13,33.51,11.96,33.62,-6.8,38.31,-5.58,63.09,5.73,1
30.52,18.68,32.01,12.15,33.62,-6.8,39.79,-5.22,63.11,5.67,1
29.85,18.75,32.93,12.17,34.74,-5.67,38.49,-5.77,63.13,5.71,1
29.1,18.19,32.93,12.17,35.39,-7.16,34.82,-2.88,61.82,5.84,1
28.97,18.66,30.97,13.15,32.13,-7.21,37.19,-5.64,61.56,5.78,1
28.97,18.66,30.38,13.01,32.09,-7.04,36.1,-5.32,61.11,5.95,1
28.19,19.79,29.8,12.16,31.94,-6.58,35.99,-5.13,60.6,5.97,1
28.68,19.74,28.12,12.1,30.56,-8.58,35.99,-5.13,59.31,5.78,1
25.27,18.56,26.33,15.1,29.6,-8.83,34.19,-6.59,57.13,5.97,1
25.69,19.68,25.74,10.29,29.6,-8.83,33.92,-5.17,57.19,6.06,1
23.9,19.07,29.21,9.49,30.91,-8.95,34.1,-5.11,56.29,6.09,1
25.05,18.84,29.21,9.49,31.67,-7.69,33.1,-4.12,56.48,6.31,1
24.77,18.74,28.94,12.15,30.71,-8.47,33.52,-4.87,56.48,6.19,1
24.77,18.74,28.62,11.36,29.65,-8.21,33.26,-4.92,56.31,6.11,1
24.44,18.57,28.38,11.49,29.45,-8.48,33.29,-5.98,56.12,5.95,1
24.45,18.54,27.38,12.18,29.56,-9.3,33.29,-5.98,55.97,5.92,1
23.95,18.89,27.47,11.32,30.07,-8.06,32.67,-5.58,55.74,5.86,1
24.32,18.38,27.81,11.84,30.07,-8.06,31.56,-5.2,55.57,5.83,1
24.04,18.55,28.33,11.11,28.79,-9.35,32.26,-5.63,55.84,5.93,1
24.75,18.59,28.33,11.11,30.44,-8.6,32.73,-4.64,56.14,6.04,1
24.27,18.35,28.95,11.56,30.24,-8.38,34.07,-4.93,56.59,5.99,1
24.27,18.35,28.95,12.58,30.24,-8.26,32.65,-4.72,56.96,6.16,1
25.01,18.46,28.6,11.77,30.91,-7.08,34.12,-5.22,57.07,6.14,1
25.46,19.23,28.44,11.45,30.23,-7.9,34.12,-5.22,56.83,6.05,1
25.01,17.86,28.17,11.92,30.14,-8.31,32.95,-5.22,56.52,6.08,1
24.47,18.2,27.87,11.81,30.14,-8.31,32.85,-4.82,56.24,6.16,1
24.72,18.96,28.5,12.05,29.59,-7.95,32.46,-4.72,56.4,6.12,1
22.22,19.38,28.5,12.05,31.38,-6.48,28.31,-5.94,54.39,6.45,1
20.87,20.0,24.95,13.01,18.2,-7.46,29.36,-3.88,52.89,7.11,1
20.87,20.0,24.23,11.86,26.59,-8.7,27.56,-3.13,52.33,7.3,1
19.91,20.57,22.41,13.73,24.05,-10.28,24.64,-3.7,50.88,7.42,1
19.48,20.06,21.82,13.09,23.55,-10.36,24.64,-3.7,49.77,7.56,1
16.1,22.29,12.16,14.25,12.37,-12.52,22.28,-3.43,42.45,8.18,1
10.18,20.45,10.85,14.27,12.37,-12.52,13.89,-0.68,39.93,8.4,1
7.66,21.62,7.37,12.78,10.28,-14.44,11.64,-3.13,36.08,7.95,1
7.66,21.62,7.37,12.78,8.59,-16.03,6.93,-5.96,34.32,7.15,1
5.85,19.56,7.37,12.78,8.59,-16.03,6.93,-5.96,34.15,6.96,1
5.85,19.56,5.98,11.04,8.59,-16.03,6.93,-5.96,34.02,6.88,1
