f0x,f0y,f1x,f1y,f2x,f2y,f3x,f3y,roll,pitch,label
-35.05,6.15,-12.33,-4.41,17.62,27.0,-7.82,12.09,-33.18,9.14,6
-35.17,5.47,-12.33,-4.41,17.62,27.0,-7.82,12.09,-33.22,9.15,6
-35.17,5.47,-12.92,-3.83,17.62,27.0,-7.82,12.09,-33.46,9.04,6
-35.17,5.47,-12.92,-3.83,18.11,27.32,-7.82,12.09,-33.56,9.06,6
-35.17,5.47,-12.92,-3.83,18.11,27.32,-6.44,11.72,-33.56,9.23,6
-35.49,5.88,-12.92,-3.83,18.11,27.32,-6.44,11.72,-33.62,9.01,6
-35.49,5.88,-12.17,-3.91,18.11,27.32,-6.44,11.72,-33.54,9.08,6
-35.49,5.88,-12.17,-3.91,17.17,26.99,-6.44,11.72,-33.6,9.03,6
-35.49,5.88,-12.17,-3.91,17.17,26.99,-7.38,12.44,-33.61,9.06,6
-35.29,5.02,-12.17,-3.91,17.17,26.99,-7.38,12.44,-33.63,9.02,6
-35.29,5.02,-12.58,-4.54,17.17,26.99,-7.38,12.44,-33.7,9.01,6
-35.29,5.02,-12.58,-4.54,17.51,27.22,-7.38,12.44,-33.74,9.01,6
-35.29,5.02,-12.58,-4.54,17.51,27.22,-7.28,12.33,-33.85,8.87,6
-34.57,3.73,-12.58,-4.54,17.51,27.22,-7.28,12.33,-33.83,8.85,6
-34.57,3.73,-11.98,-4.04,17.51,27.22,-7.28,12.33,-33.83,8.84,6
-34.57,3.73,-11.98,-4.04,17.64,26.46,-7.28,12.33,-33.84,8.78,6
-34.57,3.73,-11.98,-4.04,17.64,26.46,-6.94,11.62,-33.86,8.73,6
-34.35,4.19,-11.98,-4.04,17.64,26.46,-6.94,11.62,-33.88,8.71,6
-34.35,4.19,-12.61,-4.42,17.64,26.46,-6.94,11.62,-33.91,8.65,6
-34.35,4.19,-12.61,-4.42,17.47,25.99,-6.94,11.62,-33.93,8.6,6
-34.35,4.19,-12.61,-4.42,17.47,25.99,-6.65,11.87,-33.95,8.58,6
-34.6,4.8,-12.61,-4.42,17.47,25.99,-6.65,11.87,-34.02,8.56,6
-34.6,4.8,-11.7,-5.09,17.47,25.99,-6.65,11.87,-34.02,8.47,6
-34.6,4.8,-11.7,-5.09,17.31,26.44,-6.65,11.87,-33.98,8.49,6
-34.6,4.8,-11.7,-5.09,17.31,26.44,-7.05,11.44,-34.07,8.4,6
-34.99,4.52,-11.7,-5.09,17.31,26.44,-7.05,11.44,-34.58,8.1,6
-34.99,4.52,-11.72,-5.48,17.31,26.44,-7.05,11.44,-34.64,7.96,6
-34.99,4.52,-11.72,-5.48,18.26,26.75,-7.05,11.44,-34.62,7.95,6
-34.99,4.52,-11.72,-5.48,18.26,26.75,-6.35,11.01,-34.76,7.75,6
-34.88,3.36,-11.72,-5.48,18.26,26.75,-6.35,11.01,-34.75,7.73,6
-34.88,3.36,-12.38,-5.68,18.26,26.75,-6.35,11.01,-34.84,7.78,6
-34.88,3.36,-12.38,-5.68,18.85,26.29,-6.35,11.01,-34.94,7.86,6
-34.88,3.36,-12.38,-5.68,18.85,26.29,-5.49,11.43,-35.01,8.0,6
-34.01,4.49,-12.38,-5.68,18.85,26.29,-5.49,11.43,-35.04,8.14,6
-34.01,4.49,-10.55,-4.56,18.85,26.29,-5.49,11.43,-35.15,8.08,6
-34.01,4.49,-10.55,-4.56,19.09,29.45,-5.49,11.43,-35.56,8.09,6
-34.01,4.49,-10.55,-4.56,19.09,29.45,-5.19,12.06,-35.79,8.87,6
-33.91,3.78,-10.55,-4.56,19.09,29.45,-5.19,12.06,-35.5,9.92,6
-33.91,3.78,-10.39,-2.28,19.09,29.45,-5.19,12.06,-35.65,10.16,6
-33.91,3.78,-10.39,-2.28,18.81,27.54,-5.19,12.06,-35.1,10.03,6
-33.91,3.78,-10.39,-2.28,18.81,27.54,-6.08,12.36,-34.97,10.32,6
-34.96,5.71,-10.39,-2.28,18.81,27.54,-6.08,12.36,-34.89,10.26,6
-34.96,5.71,-10.58,-3.34,18.81,27.54,-6.08,12.36,-34.49,10.27,6
-34.96,5.71,-10.58,-3.34,17.74,28.23,-6.08,12.36,-33.99,9.84,6
-34.96,5.71,-10.58,-3.34,17.74,28.23,-7.53,12.35,-33.77,9.79,6
-34.45,5.34,-10.58,-3.34,17.74,28.23,-7.53,12.35,-33.75,9.76,6
-34.45,5.34,-13.36,-3.46,17.74,28.23,-7.53,12.35,-33.39,9.72,6
-34.45,5.34,-13.36,-3.46,16.92,27.72,-7.53,12.35,-33.15,9.68,6
-34.45,5.34,-13.36,-3.46,16.92,27.72,-6.95,11.86,-33.04,9.53,6
-36.24,4.73,-13.36,-3.46,16.92,27.72,-6.95,11.86,-32.81,8.76,6
-36.24,4.73,-12.72,-3.78,16.92,27.72,-6.95,11.86,-32.82,8.71,6
-36.24,4.73,-12.72,-3.78,17.65,26.63,-6.95,11.86,-32.63,8.84,6
-36.24,4.73,-12.72,-3.78,17.65,26.63,-7.76,10.79,-32.28,8.84,6
-36.44,6.5,-12.72,-3.78,17.65,26.63,-7.76,10.79,-32.15,8.77,6
-36.44,6.5,-13.81,-4.36,17.65,26.63,-7.76,10.79,-31.64,8.59,6
-36.44,6.5,-13.81,-4.36,16.53,26.66,-7.76,10.79,-31.22,8.53,6
-36.44,6.5,-13.81,-4.36,16.53,26.66,-9.1,11.27,-31.1,8.41,6
-37.63,5.32,-13.81,-4.36,16.53,26.66,-9.1,11.27,-31.14,8.4,6
-37.63,5.32,-13.19,-4.59,16.53,26.66,-9.1,11.27,-31.24,8.28,6
-37.63,5.32,-13.19,-4.59,17.38,25.74,-9.1,11.27,-31.32,8.24,6
-37.63,5.32,-13.19,-4.59,17.38,25.74,-8.01,12.51,-31.67,8.25,6
